iter	Passed	Remaining
872	1877	273
873	1879	270
874	1881	268
875	1883	266
876	1885	264
877	1887	262
878	1889	260
879	1891	257
880	1893	255
881	1895	253
882	1897	251
883	1899	249
884	1901	247
885	1902	244
886	1904	242
887	1906	240
888	1908	238
889	1910	236
890	1912	233
891	1913	231
892	1915	229
893	1917	227
894	1919	225
895	1920	222
896	1922	220
897	1925	218
898	1927	216
899	1929	214
900	1931	212
901	1933	210
902	1935	207
903	1937	205
904	1939	203
905	1941	201
906	1943	199
907	1944	197
908	1946	194
909	1948	192
910	1950	190
911	1952	188
912	1954	186
913	1956	184
914	1957	181
915	1959	179
916	1961	177
917	1963	175
918	1964	173
919	1966	171
920	1968	168
921	1970	166
922	1972	164
923	1974	162
924	1976	160
925	1978	158
926	1980	156
927	1982	153
928	1985	151
929	1987	149
930	1989	147
931	1991	145
932	1993	143
933	1995	140
934	1997	138
935	1999	136
936	2001	134
937	2003	132
938	2005	130
939	2007	128
940	2009	125
941	2011	123
942	2013	121
943	2015	119
944	2017	117
945	2019	115
946	2021	113
947	2023	110
948	2025	108
949	2027	106
950	2029	104
951	2031	102
952	2033	100
953	2035	98
954	2038	96
955	2040	93
956	2042	91
957	2044	89
958	2046	87
959	2048	85
960	2050	83
961	2052	81
962	2054	78
963	2056	76
964	2058	74
965	2060	72
966	2062	70
967	2064	68
968	2066	66
969	2068	63
970	2070	61
971	2072	59
972	2074	57
973	2076	55
974	2078	53
975	2080	51
976	2082	49
977	2085	46
978	2087	44
979	2089	42
980	2091	40
981	2093	38
982	2095	36
983	2097	34
984	2099	31
985	2101	29
986	2103	27
987	2105	25
988	2107	23
989	2110	21
990	2112	19
991	2114	17
992	2116	14
993	2118	12
994	2120	10
995	2122	8
996	2125	6
997	2127	4
998	2129	2
999	2131	0
